29/05/2026;AGRO-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Resumo da Carteira - Conteudo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimonio Liquido;Valor da Cota Liquida;Cota Congelada;Valor da Cota Bruta;Quantidade de Cotas;portfolio-front.export-file.portfolio-view-panel-data.fields.start-date-variation;Variacao Diaria;Variacao Mensal;Variacao Anual;Variacao 6 Meses;Variacao 12 Meses;Contribuicao Total;Contribuicao Erro;Exposicao Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45.228.313,18;1.030,76;true;1.030,76;43.878,77;0,018803;0,000114;0,004164;0,018803;0,018803;0,018803;0,000114;0;45.228.313,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Resumo da Carteira - Informacoes Adicionais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Equities Net.;Net Delta=1;Gross;Gross Delta=1;Long Exp.;Short Exp.;Patrimonio Bruto;Valor da Cota sem Amortizacoes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;45.228.313,18;1.030,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acoes e Recibos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Criptomoedas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Imoveis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acoes, Opcoes e Recibos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETFs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opcoes e Direitos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Futuros e Opcoes de Moeda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Futuros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Termos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Swaps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Commodities a Vista;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotas de Fundos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Titulos Publicos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrumento (Nome);Instrumento (Nome Completo);Id do Instrumento;ISIN;Quantidade;Preco;Data Preco;Delta Preco;Valor Liquido;Valor Bruto;PnL (% PL);PnL ($);% / Total (Bruto);Exposicao (% PL);Exposicao ($);% / Total (Acumulado);Moeda;Valor na Moeda Original;Id da Estrategia;Estrategia;Id Emissor;Setor;Emissor;Id do Custodiante;Nome do Custodiante;Criacao;Ultima Atualizacao;Id de Origem;Fonte;Id Interno;Data de Referencia;Codigo da Conta;Nome da Conta;Spread Diario (Padrao);Spread Mensal (Padrao);portfolio-front.models.bond-asset-positions.fields.daily-spread;portfolio-front.models.bond-asset-positions.fields.monthly-spread;Tipo (RF);Contrato;Id do Contrato;Data de Emissao;Data Vencimento;Quantidade Disponivel;Quantidade Garantia;Duration;Prazo Medio;Juros Acumulado;Total Acumulado de Juros;Yield;Metodo de Precificacao;portfolio-front.models.bond-asset-positions.fields.is-exempt
OVER @ LTN 01/04/2027 - ida: 28/05/2026 >> retorno: 29/05/2026;OVER @ LTN 01/04/2027;144;;0;892,865003;29/05/2026;0,053226;0;0;0,016675;7.540,83;0;0;0;0;real;892,865003;2;Caixa;2;Desconhecido;Tesouro Nacional;;BTG Pactual;;;;carteira adm;35.367;29/05/2026;3;Padrao;spread;spread;;;;OVER @ LTN 01/04/2027 - ida: 28/05/2026 >> retorno: 29/05/2026;387;;;0;0;;;;;0;;false
OVER @ NTNB 15/08/2050 - ida: 28/05/2026 >> retorno: 29/05/2026;OVER @ NTNB 15/08/2050;204;;0;3.983,39;29/05/2026;0,053226;0;0;0,000574;259,59;0;0;0;0;real;3.983,39;2;Caixa;2;Desconhecido;Tesouro Nacional;;BTG Pactual;;;;carteira adm;35.368;29/05/2026;3;Padrao;spread;spread;;;;OVER @ NTNB 15/08/2050 - ida: 28/05/2026 >> retorno: 29/05/2026;388;;;0;0;;;;;0;;false
OVER @ NTNB 15/08/2040 - ida: 29/05/2026 >> retorno: 01/06/2026;OVER @ NTNB 15/08/2040;177;;2.913;4.108,63;29/05/2026;0;11.968.436,54;11.968.436,54;0;0;0;26,462266;11.968.436,54;26,462266;real;4.108,63;2;Caixa;2;Desconhecido;Tesouro Nacional;;BTG Pactual;;;;carteira adm;36.604;29/05/2026;3;Padrao;spread;spread;;;;OVER @ NTNB 15/08/2040 - ida: 29/05/2026 >> retorno: 01/06/2026;398;;;2.913;0;;;;;0;;false
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Titulos Privados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrumento (Nome);Instrumento (Nome Completo);Id do Instrumento;ISIN;Quantidade;Preco;Data Preco;Delta Preco;Valor Liquido;Valor Bruto;PnL (% PL);PnL ($);% / Total (Bruto);Exposicao (% PL);Exposicao ($);% / Total (Acumulado);Moeda;Valor na Moeda Original;Id da Estrategia;Estrategia;Id Emissor;Setor;Emissor;Id do Custodiante;Nome do Custodiante;Criacao;Ultima Atualizacao;Id de Origem;Fonte;Id Interno;Data de Referencia;Codigo da Conta;Nome da Conta;Spread Diario (Padrao);Spread Mensal (Padrao);portfolio-front.models.private-bond-asset-positions.fields.daily-spread;portfolio-front.models.private-bond-asset-positions.fields.monthly-spread;Tipo (RF);Contrato;Id do Contrato;Data de Emissao;Data Vencimento;Quantidade Disponivel;Quantidade Garantia;Duration;Prazo Medio;Juros Acumulado;Total Acumulado de Juros;Yield;Metodo de Precificacao;portfolio-front.models.private-bond-asset-positions.fields.is-exempt
25H02413363;25H02413363 - CPR PRE;142;;1;33.314.573,72;29/05/2026;0,018538;33.314.573,72;33.314.573,72;0,013654;6.174,64;0;73,658669;33.314.573,72;73,658669;real;33.314.573,72;1;Padrao;17;Servicos;AGROMY SOLUCOES EMPRESARIAIS LTDA;;BTG Pactual;;;;carteira adm;35.254;29/05/2026;3;Padrao;spread;spread;;;CPR PRE;Contrato #95;95;07/08/2025;06/07/2037;1;0;11.112.328;11.112.328;;;7;Taxa a Mercado;false
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caixa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Id Interno;Moeda;Id da Estrategia;Estrategia;Codigo da Conta;Nome da Conta;Id do Custodiante;Nome do Custodiante;Valor Liquido;PnL (% PL);PnL ($);Id de Origem;Fonte;Criacao;Ultima Atualizacao;% / Total (Liq);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.569;real;2;Caixa;3;Padrao;;BTG Pactual;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Provisoes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Id Interno;Instrumento (Nome);Id de Categoria de Provisao;Id da Estrategia;Estrategia;Codigo da Conta;Nome da Conta;Moeda;Valor Liquido;Data Liquidacao;Status de Liquidacao;Ultima Atualizacao;Criacao;Id do Instrumento de Origem;Id do Contrato de Origem;Id de Provisao de Origem;PnL (% PL);PnL ($);% / Total (Liq);Valor Liquidado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;taxa CVM;122;2;Caixa;3;Padrao;real;11.345,92;;;;;;;;-0,00017;-76,66;0,025086;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;liquidacao de compromissada (volta);10;2;Caixa;3;Padrao;real;0;;;;;144;;;0;0;0;11.969.869,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;imposto;128;2;Caixa;3;Padrao;real;0;;;;;144;;;0;0;0;1.432,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;liquidacao de compromissada (ida);7;2;Caixa;3;Padrao;real;0;;;;;177;;;0;0;0;-11.968.436,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ajuste de saldo em conta;205;2;Caixa;3;Padrao;real;0;;;;;;;;-0,006336;-2.865,45;0;-2.865,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;taxa ANBIMA/ANBID;121;2;Caixa;3;Padrao;real;-418;;;;;;;;-0,000023;-10,45;-0,000924;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;taxa de administracao;101;2;Caixa;3;Padrao;real;-14.000;;;;;;;;-0,001548;-700;-0,030954;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;taxa de gestao;105;2;Caixa;3;Padrao;real;-51.625;;;;;;;;-0,011416;-5.162,50;-0,114143;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aplicacoes e Resgates a Cotizar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Id Interno;Data de Cotizacao;Valor;Cotizada?;Nº de Cotas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ativos com Vencimento Proximo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Id Interno;Nome;Data Vencimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cambios Utilizados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moeda;Instrumento de Cambio Direto;Instrumento de Cambio Indireto;Valor;Data do Cambio;Cambio Direto?;Mesma Data da Carteira?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exposicao e Cambio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
portfolio-front.export-file.footer-sections.fields.currency-exposures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moeda;Valor;Percentual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Real;45.228.313,18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
portfolio-front.export-file.footer-sections.fields.delta-adjusted-currency-exposures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moeda;Valor;Percentual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Real;45.228.313,18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
