instrument_id,fund_id,cetip_code,isin_code,maturity_date
113,19,,,
136,19,,,
148,19,,,
164,19,,,
170,19,,,
180,19,,,
73,11,,,
71,11,,BRSTNCLF1RI1,2028-03-01
75,11,ARTRA7,BRARTRDBS0C4,2035-05-15
76,11,ARTRA8,BRARTRDBS0E0,2032-10-15
80,11,MTXS11,BRMTXSDBS006,2039-09-15
81,11,RALM21,BRRALMDBS011,2048-12-15
77,11,BTEL13,BRBTELDBS020,2032-04-15
79,11,MGPRA0,BRMGPRDBS076,2042-03-15
84,11,VRDN12,BRVRDNDBS012,2034-12-15
82,11,RISP12,BRRISPDBS020,2034-01-15
78,11,CGEE13,BRCGEEDBS038,2041-12-14
83,11,TEPA13,BRTEPADBS031,2032-03-15
117,11,,,
111,11,,,
123,11,RDORD9,BRRDORDBS0K9,2031-07-25
124,11,CMGD19,BRCMGDDBS0C8,2026-05-15
120,11,PSAN23,BRPSANDBS026,2030-03-18
92,11,,,
136,11,,,
105,11,,,
173,11,EPRL12,BREPRLDBS065,2049-03-15
148,11,,,
144,11,,,
207,11,,,
209,11,NC002600G2H,NC002600G2H,2026-12-02
205,11,RUMOA3,BRRAILDBS035,2029-10-15
210,11,RUMOA4,BRRAILDBS050,2030-04-15
214,11,AXIA18,BRAXIADBS0C8,2033-02-15
103,11,,,
220,11,AXIA19,BRAXIADBS0F1,2036-06-15
226,11,,,
224,11,MRSAB3,BRMRSADBS0O5,2040-07-15
111,17,,,
164,17,,,
73,17,,,
177,17,,,
148,17,,,
192,17,,,
204,17,,,
105,17,,,
170,17,,,
92,17,,,
138,17,,,
71,21,,BRSTNCLF1RI1,2028-03-01
190,21,,,
180,21,,,
152,21,,,
92,12,,,
73,13,,,
142,13,25H02413363,,2037-07-06
92,13,,,
111,13,,,
150,13,,,
148,13,,,
144,13,,,
204,13,,,
177,13,,,
192,13,,,
105,13,,,
152,13,,,
175,13,,,
