fund_id,fund_name,date,net_value,subscriptions,redemptions
11,Fund A,2025-12-04,-118113.82,0,118113.82
11,Fund A,2025-12-31,-1960688.1,0,1960688.1
11,Fund A,2026-01-15,-164723,0,164723
11,Fund A,2026-02-02,-1960688.1,0,1960688.1
11,Fund A,2026-02-09,-157500,0,157500
11,Fund A,2026-03-02,-1960688.1,0,1960688.1
11,Fund A,2026-03-12,-243432.03,0,243432.03
11,Fund A,2026-04-02,-1680589.8,0,1680589.8
11,Fund A,2026-04-06,-1680589.8,0,1680589.8
11,Fund A,2026-04-08,1680589.8,1680589.8,0
11,Fund A,2026-04-09,-168695.41,0,168695.41
11,Fund A,2026-07-28,-400182.15,0,400182.15
14,Fund D,2026-06-24,500000,500000,0
17,Fund F,2026-02-06,-318687.76,0,318687.76
17,Fund F,2026-03-06,-273160.94,0,273160.94
17,Fund F,2026-04-08,-333863.36,0,333863.36
17,Fund F,2026-05-08,-304871.14,0,304871.14
17,Fund F,2026-06-08,-302744.06,0,302744.06
17,Fund F,2026-07-10,-317881.27,0,317881.27
17,Fund F,2026-08-07,-348155.67,0,348155.67
19,Fund H,2026-02-04,4567500,4567500,0
19,Fund H,2026-03-06,-4444.44,0,4444.44
19,Fund H,2026-03-10,-68669.86,0,68669.86
19,Fund H,2026-04-08,-100543.36,0,100543.36
19,Fund H,2026-05-04,4567500,4567500,0
19,Fund H,2026-05-08,-91857.6,0,91857.6
19,Fund H,2026-06-08,-178715.2,0,178715.2
19,Fund H,2026-07-07,-187400.96,0,187400.96
20,Fund I,2026-02-04,4567500,4567500,0
20,Fund I,2026-05-04,4567500,4567500,0
21,Fund J,2026-06-25,1652093.39,1652093.39,0
21,Fund J,2026-08-10,706000,706000,0
