fund_id,fund_name,ex_date,gross_value_per_unit,description
11,Fund A,2025-12-19,0.905877,Amortização de CGEE13: 0.905877
11,Fund A,2026-01-26,85.293147,Juros (renda fixa) de RDORD9: 85.293147
11,Fund A,2026-03-16,49.286328,Juros (renda fixa) de MTXS11: 49.286328
11,Fund A,2026-03-16,57.576616,Juros (renda fixa) de TEPA13: 57.576616
11,Fund A,2026-03-16,29.666651,Juros (renda fixa) de EPRL12: 29.666651
11,Fund A,2026-03-18,84.86236,Juros (renda fixa) de PSAN23: 84.86236
11,Fund A,2026-04-15,38.255963,Juros (renda fixa) de ARTRA8: 38.255963
11,Fund A,2026-04-15,71.420827,Juros (renda fixa) de BTEL13: 71.420827
11,Fund A,2026-05-15,37.794114,Juros (renda fixa) de ARTRA7: 37.794114
11,Fund A,2026-05-15,39.491416,Juros (renda fixa) de CMGD19: 39.491416
11,Fund A,2026-05-15,500,Amortização final de CMGD19: 500
11,Fund A,2026-06-15,43.799147,Juros (renda fixa) de CGEE13: 43.799147
11,Fund A,2026-06-15,3.995634,Amortização de CGEE13: 3.995634
11,Fund A,2026-06-15,35.565648,Juros (renda fixa) de VRDN12: 35.565648
11,Fund A,2026-06-15,42.955579,Amortização de VRDN12: 42.955579
11,Fund A,2026-07-15,0.380005,Juros (renda fixa) de RISP12: 0.380005
