fund_id,fund_name,snapshot_date,nav
19,Fund H,2026-02-04,4567500
19,Fund H,2026-03-06,4382531.12
19,Fund H,2026-04-05,4284154.11
19,Fund H,2026-05-05,8993247.83
19,Fund H,2026-06-04,8751832.62
19,Fund H,2026-07-04,8659597.49
19,Fund H,2026-08-03,8544559.28
19,Fund H,2026-08-11,0
25,Fund N,2026-06-30,0
25,Fund N,2026-07-30,0
25,Fund N,2026-08-11,0
22,Fund K,2026-06-25,0
22,Fund K,2026-07-25,0
22,Fund K,2026-08-11,0
23,Fund L,2026-06-25,0
23,Fund L,2026-07-25,0
23,Fund L,2026-08-11,0
24,Fund M,2026-06-25,0
24,Fund M,2026-07-25,0
24,Fund M,2026-08-11,0
20,Fund I,2026-02-04,4567500
20,Fund I,2026-03-06,4291010.51
20,Fund I,2026-04-05,4174424.95
20,Fund I,2026-05-05,8883518.71
20,Fund I,2026-06-04,8546345.77
20,Fund I,2026-07-04,8445487.08
20,Fund I,2026-08-03,8330862.94
20,Fund I,2026-08-11,0
11,Fund A,2025-12-01,188710129.97
11,Fund A,2025-12-31,188251221.28
11,Fund A,2026-01-30,192247135.53
11,Fund A,2026-03-01,190998947.51
11,Fund A,2026-03-31,188660584.35
11,Fund A,2026-04-30,185108413.02
11,Fund A,2026-05-30,185553079.98
11,Fund A,2026-06-29,187846276.54
11,Fund A,2026-07-29,189889925.94
11,Fund A,2026-08-11,191798152.24
18,Fund G,2026-01-30,274961612.35
18,Fund G,2026-03-01,274754939.62
18,Fund G,2026-03-31,303230735.44
18,Fund G,2026-04-30,302974914.94
18,Fund G,2026-05-30,302698176.05
18,Fund G,2026-06-29,302698176.05
18,Fund G,2026-07-29,302443833.06
18,Fund G,2026-08-11,302148800.28
16,Fund E,2026-01-30,20288532.48
16,Fund E,2026-03-01,20293438.43
16,Fund E,2026-03-31,22421323.9
16,Fund E,2026-04-30,22424950.78
16,Fund E,2026-05-30,22426875.57
16,Fund E,2026-06-29,22426875.57
16,Fund E,2026-07-29,22431583.12
16,Fund E,2026-08-11,22436646.04
17,Fund F,2026-01-30,295568832.58
17,Fund F,2026-03-01,295321538.99
17,Fund F,2026-03-31,325985922.7
17,Fund F,2026-04-30,325704736.85
17,Fund F,2026-05-30,325427795.71
17,Fund F,2026-06-29,325125051.64
17,Fund F,2026-07-29,324875416.16
17,Fund F,2026-08-11,324600583.5
21,Fund J,2026-06-25,19519343.4
21,Fund J,2026-07-25,21398220.44
21,Fund J,2026-08-11,47644645.9
12,Fund B,2025-12-01,188487962.36
12,Fund B,2025-12-31,187983848.18
12,Fund B,2026-01-30,191981715.54
12,Fund B,2026-03-01,188789467.31
12,Fund B,2026-03-31,188482849.17
12,Fund B,2026-04-30,184944281.4
12,Fund B,2026-05-30,185234434.56
12,Fund B,2026-06-29,187373965.38
12,Fund B,2026-07-29,189746913.91
12,Fund B,2026-08-11,191558183.39
13,Fund C,2026-01-30,44393590.5
13,Fund C,2026-03-01,44577833.97
13,Fund C,2026-03-31,44824295.65
13,Fund C,2026-04-30,45040764.08
13,Fund C,2026-05-30,45228313.18
13,Fund C,2026-06-29,33115086.66
13,Fund C,2026-07-29,33482020.19
13,Fund C,2026-08-11,33621014.21
14,Fund D,2026-04-15,18053068.96
14,Fund D,2026-05-15,18039786.87
14,Fund D,2026-06-14,18024402.79
14,Fund D,2026-07-14,18510986.62
14,Fund D,2026-08-11,18508111.22
