fund_id,fund_name,as_of_date,projection_days,nav_percent
19,Fund H,2026-08-11,1,0
19,Fund H,2026-08-11,5,0
19,Fund H,2026-08-11,21,0
19,Fund H,2026-08-11,63,0
19,Fund H,2026-08-11,126,0
19,Fund H,2026-08-11,252,0
25,Fund N,2026-08-11,1,
25,Fund N,2026-08-11,5,
25,Fund N,2026-08-11,21,
25,Fund N,2026-08-11,63,
25,Fund N,2026-08-11,126,
25,Fund N,2026-08-11,252,
22,Fund K,2026-08-11,1,
22,Fund K,2026-08-11,5,
22,Fund K,2026-08-11,21,
22,Fund K,2026-08-11,63,
22,Fund K,2026-08-11,126,
22,Fund K,2026-08-11,252,
23,Fund L,2026-08-11,1,
23,Fund L,2026-08-11,5,
23,Fund L,2026-08-11,21,
23,Fund L,2026-08-11,63,
23,Fund L,2026-08-11,126,
23,Fund L,2026-08-11,252,
24,Fund M,2026-08-11,1,
24,Fund M,2026-08-11,5,
24,Fund M,2026-08-11,21,
24,Fund M,2026-08-11,63,
24,Fund M,2026-08-11,126,
24,Fund M,2026-08-11,252,
20,Fund I,2026-08-11,1,0
20,Fund I,2026-08-11,5,0
20,Fund I,2026-08-11,21,0
20,Fund I,2026-08-11,63,0
20,Fund I,2026-08-11,126,0
20,Fund I,2026-08-11,252,0
11,Fund A,2026-08-11,1,0.021155811225586553
11,Fund A,2026-08-11,5,0.021836205581569682
11,Fund A,2026-08-11,21,0.021801506317764095
11,Fund A,2026-08-11,63,0.05295546179462259
11,Fund A,2026-08-11,126,0.11720600473033777
11,Fund A,2026-08-11,252,0.17137234345785518
18,Fund G,2026-08-11,1,0.9999999999975234
18,Fund G,2026-08-11,5,0.9999999999975234
18,Fund G,2026-08-11,21,0.999649310462166
18,Fund G,2026-08-11,63,0.999649310462166
18,Fund G,2026-08-11,126,0.999649310462166
18,Fund G,2026-08-11,252,0.999649310462166
16,Fund E,2026-08-11,1,1.000000000049116
16,Fund E,2026-08-11,5,1.000000000049116
16,Fund E,2026-08-11,21,1.000000000049116
16,Fund E,2026-08-11,63,1.000000000049116
16,Fund E,2026-08-11,126,1.000000000049116
16,Fund E,2026-08-11,252,1.000000000049116
17,Fund F,2026-08-11,1,0.02813970680601979
17,Fund F,2026-08-11,5,0.028138070025228234
17,Fund F,2026-08-11,21,0.028096402917300808
17,Fund F,2026-08-11,63,0.02809511847721908
17,Fund F,2026-08-11,126,0.02809511847721908
17,Fund F,2026-08-11,252,0.02809511847721908
21,Fund J,2026-08-11,1,0.5497733495807704
21,Fund J,2026-08-11,5,0.5493308996558776
21,Fund J,2026-08-11,21,0.549275929206008
21,Fund J,2026-08-11,63,0.549275929206008
21,Fund J,2026-08-11,126,0.549275929206008
21,Fund J,2026-08-11,252,0.5492709341011961
12,Fund B,2026-08-11,1,0.9999965595017903
12,Fund B,2026-08-11,5,0.9999965595017903
12,Fund B,2026-08-11,21,0.9999726389542841
12,Fund B,2026-08-11,63,0.9999726389542841
12,Fund B,2026-08-11,126,0.9999726389542841
12,Fund B,2026-08-11,252,1.0001131161164902
13,Fund C,2026-08-11,1,0.36514299823803514
13,Fund C,2026-08-11,5,0.36514299823803514
13,Fund C,2026-08-11,21,0.36449236349324826
13,Fund C,2026-08-11,63,0.36449236349324826
13,Fund C,2026-08-11,126,0.36449236349324826
13,Fund C,2026-08-11,252,0.36449236349324826
14,Fund D,2026-08-11,1,1.0002818158015938
14,Fund D,2026-08-11,5,1.0002817931088406
14,Fund D,2026-08-11,21,0.9999939791190346
14,Fund D,2026-08-11,63,0.9999313114601789
14,Fund D,2026-08-11,126,0.9999313114601789
14,Fund D,2026-08-11,252,0.9999313114601789
