fund_id,fund_name,snapshot_date,group_identifier,item_id,asset_name,instrument_id,instrument_type_identifier,quantity,nav_value,exposure,nav_percentage,isin_code,issuer_name
19,Fund H,2026-02-04,bonds,12209,OVER @ LFT 01/09/2028,113,overnight,250,4566200.93,0.9997155834608648,,,Tesouro Nacional
19,Fund H,2026-02-04,cash,3337,BRL,,,,1299.08,0.0002844181718664477,,,
19,Fund H,2026-02-04,provisions,136512,outros/não categorizado,,,,1111.1,0.00024326217843459222,,,
19,Fund H,2026-02-04,provisions,136505,liquidação de compromissada (ida),,,,0,0,,,
19,Fund H,2026-02-04,provisions,136943,cotização de aplicação no fundo,,,,0,0,,,
19,Fund H,2026-02-04,provisions,136947,ajuste de saldo em conta,,,,0,0,,,
19,Fund H,2026-02-04,provisions,136509,taxa de custódia,,,,-111.11,-0.00002432621784345922,,,
19,Fund H,2026-02-04,provisions,136510,taxa de administração,,,,-1000,-0.00021893814997263274,,,
19,Fund H,2026-03-06,bonds,15692,OVER @ LFT 01/03/2029,136,overnight,0,0,0,,,Tesouro Nacional
19,Fund H,2026-03-06,bonds,16582,OVER @ LFT 01/03/2027,148,overnight,236,4369390.27,0.9970015393936096,,,Tesouro Nacional
19,Fund H,2026-03-06,cash,4832,BRL,,,,17686.25,0.004035624509153514,,,
19,Fund H,2026-03-06,provisions,188887,ajuste de PL,,,,0.01,2.281786421176628e-9,,,
19,Fund H,2026-03-06,provisions,188117,liquidação de compromissada (volta),,,,0,0,,,
19,Fund H,2026-03-06,provisions,190716,liquidação de compromissada (ida),,,,0,0,,,
19,Fund H,2026-03-06,provisions,190725,taxa SELIC,,,,0,0,,,
19,Fund H,2026-03-06,provisions,190728,pagamento de resgate do fundo,,,,0,0,,,
19,Fund H,2026-03-06,provisions,188111,taxa de custódia,,,,-454.495455,-0.00010370615577054933,,,
19,Fund H,2026-03-06,provisions,188114,taxa de administração,,,,-4090.90909,-0.0009334580811830036,,,
19,Fund H,2026-04-05,bonds,22416,OVER @ LFT 01/03/2027,148,overnight,230,4295878.88,1.0027367759159578,,,Tesouro Nacional
19,Fund H,2026-04-05,cash,6388,BRL,,,,10275,0.0023983731061439336,,,
19,Fund H,2026-04-05,provisions,206711,taxa de custódia,,,,-2199.810002,-0.0005134759267565191,,,
19,Fund H,2026-04-05,provisions,206710,taxa de administração,,,,-19799.959996,-0.004621673144246438,,,
19,Fund H,2026-05-05,bonds,29525,OVER @ LFT 01/09/2029,164,overnight,224,4417050.47,0.49115186824228774,,,Tesouro Nacional
19,Fund H,2026-05-05,bonds,30436,OVER @ LFT 01/09/2029,164,overnight,243,4590710.92,0.510461960590033,,,Tesouro Nacional
19,Fund H,2026-05-05,cash,8784,BRL,,,,7486.44,0.00083245120578424,,,
19,Fund H,2026-05-05,provisions,261912,taxa de custódia,,,,-2200,-0.000244627974407773,,,
