fund_id,fund_name,start_date,end_date,total_subscription,total_redemption,total_tax,nav
19,Fund H,2026-02-04,2026-08-11,9135000,631631.42,0,0
25,Fund N,2026-06-30,2026-08-11,0,0,0,0
22,Fund K,2026-06-25,2026-08-11,0,0,0,0
23,Fund L,2026-06-25,2026-08-11,0,0,0,0
24,Fund M,2026-06-25,2026-08-11,0,0,0,0
20,Fund I,2026-02-04,2026-08-11,9135000,0,0,0
11,Fund A,2025-12-01,2026-08-11,1680589.8,10495890.31,0,191798152.24
18,Fund G,2026-01-30,2026-08-11,0,0,0,302148800.28
16,Fund E,2026-01-30,2026-08-11,0,0,0,22436646.04
17,Fund F,2026-01-30,2026-08-11,0,2199364.2,0,324600583.5
21,Fund J,2026-06-25,2026-08-11,2358093.39,0,0,47644753.09
12,Fund B,2025-12-01,2026-08-11,0,9523342.2,0,191558183.39
13,Fund C,2026-01-30,2026-08-11,0,0,0,33621014.21
14,Fund D,2026-04-15,2026-08-11,500000,0,0,18508111.22
